city,state_id,population
Turlock,CA,107317.0
Temple,TX,107258.0
Sioux City,IA,106455.0
Salisbury,MD,106447.0
Davie,FL,106306.0
Daly City,CA,106280.0
Allen,TX,105623.0
Highlands Ranch,CO,105147.0
West Covina,CA,105101.0
Sparks,NV,105006.0
San Mateo,CA,104430.0
Norwalk,CA,103949.0
Columbia,MD,103663.0
Rialto,CA,103526.0
Manteca,CA,103420.0
El Cajon,CA,102708.0
Burbank,CA,102511.0
Longmont,CO,102474.0
Renton,WA,101751.0
Vista,CA,101638.0
Logan,UT,101616.0
Prescott Valley,AZ,101539.0
Vacaville,CA,101444.0
Edinburg,TX,101170.0
Carmel,IN,101068.0
Spokane Valley,WA,101060.0
Edison,NJ,100809.0
San Angelo,TX,100773.0
Lakewood,NJ,100763.0
La Crosse,WI,100693.0
Arden-Arcade,CA,100548.0
Idaho Falls,ID,100442.0
Holland,MI,100432.0
Charlottesville,VA,100416.0
Longview,TX,100330.0
Woodbridge,NJ,100187.0
Tracy,CA,100049.0
Boca Raton,FL,99805.0
Lafayette,CO,99645.0
Wichita Falls,TX,99557.0
Rio Rancho,NM,99178.0
South Fulton,GA,99155.0
Beaverton,OR,99037.0
Lawrence,KS,98648.0
Bismarck,ND,98345.0
Orem,UT,97828.0
Middletown,OH,97730.0
San Marcos,CA,96664.0
Sandy,UT,96380.0
Federal Way,WA,96289.0
Greece,NY,96197.0
Mandeville,LA,95968.0
Hesperia,CA,95750.0
Brockton,MA,95708.0
Compton,CA,95605.0
Fishers,IN,95310.0
Sunrise,FL,95166.0
Bowling Green,KY,95135.0
Roswell,GA,94763.0
Menifee,CA,94756.0
Plantation,FL,94580.0
Dover,NH,94563.0
Quincy,MA,94470.0
Portsmouth,VA,94398.0
Chino,CA,94371.0
Lynn,MA,94299.0
Edmond,OK,94054.0
Hanford,CA,94028.0
Dearborn,MI,93932.0
Livonia,MI,93665.0
South Gate,CA,93444.0
Vineland,NJ,93239.0
San Tan Valley,AZ,93230.0
Florence,SC,93131.0
Portsmouth,NH,93069.0
Slidell,LA,93040.0
Kirkland,WA,93010.0
Missoula,MT,92895.0
Auburn,AL,92777.0
Rapid City,SD,92664.0
Lee's Summit,MO,92522.0
Terre Haute,IN,92490.0
Suffolk,VA,92108.0
Blacksburg,VA,91888.0
Toms River,NJ,91706.0
Mount Pleasant,SC,91684.0
Carson,CA,91394.0
Greenburgh,NY,91355.0
Riverview,FL,91190.0
Conroe,TX,91079.0
Livermore,CA,90923.0
Germantown,MD,90844.0
Lawton,OK,90712.0
Westminster,CA,90643.0
Santa Monica,CA,90401.0
New Braunfels,TX,90209.0
Fall River,MA,89541.0
Albany,GA,89217.0
Miami Beach,FL,88885.0
Norwalk,CT,88816.0
San Leandro,CA,88815.0
O'Fallon,MO,88673.0
Alafaya,FL,88542.0
Newton,MA,88414.0
Muncie,IN,87879.0
Hamilton,NJ,87799.0
Citrus Heights,CA,87796.0
State College,PA,87723.0
Decatur,IL,87236.0
Jackson,MI,87110.0
Fort Myers,FL,87103.0
Goodyear,AZ,86840.0
Cheektowaga,NY,86813.0
Dalton,GA,86628.0
Clarkstown,NY,86511.0
Bryan,TX,86276.0
Waukegan,IL,86075.0
Hawthorne,CA,86068.0
Anderson,IN,85992.0
Redwood City,CA,85925.0
Hoover,AL,85768.0
Town 'n' Country,FL,85620.0
Lake Forest,CA,85531.0
Napa,CA,85239.0
Whittier,CA,85098.0
Clifton,NJ,85052.0
Largo,FL,84948.0
Bloomington,MN,84943.0
Johns Creek,GA,84579.0
Newport Beach,CA,84534.0
Mission,TX,84331.0
Milpitas,CA,84196.0
Troy,MI,84092.0
Madera,CA,84086.0
Joplin,MO,84048.0
Chino Hills,CA,83853.0
Alhambra,CA,83750.0
Franklin,TN,83097.0
Melbourne,FL,83029.0
Port Huron,MI,82970.0
Colonie,NY,82882.0
Upper Darby,PA,82846.0
Springfield,OH,82820.0
Mountain View,CA,82739.0
Zephyrhills,FL,82476.0
St. Augustine,FL,82180.0
Flagstaff,AZ,81974.0
Buena Park,CA,81788.0
Pleasanton,CA,81777.0
Westland,MI,81511.0
Auburn,WA,81464.0
Cranston,RI,81456.0
Somerville,MA,81360.0
Folsom,CA,81328.0
Springdale,AR,81125.0
Deerfield Beach,FL,81066.0
Warwick,RI,81004.0
Cicero,IL,80796.0
Farmington Hills,MI,80612.0
Newark,OH,80451.0
Williamsburg,VA,80441.0
Brooklyn Park,MN,80389.0
Hattiesburg,MS,80138.0
Alexandria,LA,80129.0
Lawrence,MA,80028.0
Florence,AL,79964.0
Valdosta,GA,79820.0
Plymouth,MN,79768.0
Silver Spring,MD,79750.0
Buckeye,AZ,79620.0
Georgetown,TX,79604.0
Cheyenne,WY,79484.0
Cedar Park,TX,79462.0
Kokomo,IN,79351.0
Tustin,CA,79348.0
Lakewood,CA,79307.0
Perris,CA,79291.0
St. Joseph,MO,79161.0
Flower Mound,TX,79135.0
Pharr,TX,79112.0
Atascocita,TX,79019.0
Alton,IL,78905.0
Loveland,CO,78877.0
Boynton Beach,FL,78679.0
New Rochelle,NY,78557.0
Anderson,SC,78512.0
Lebanon,PA,78302.0
Parma,OH,78103.0
Layton,UT,78014.0
Elizabethtown,KY,78002.0
Texarkana,TX,77964.0
Alameda,CA,77624.0
The Villages,FL,77609.0
Kankakee,IL,77429.0
Watsonville,CA,77352.0
Porterville,CA,77318.0
Baytown,TX,77192.0
Upland,CA,77140.0
Davis,CA,76997.0
Camarillo,CA,76931.0
South Jordan,UT,76598.0
Battle Creek,MI,76514.0
Bellflower,CA,76435.0
Jonesboro,AR,76247.0
San Marcos,TX,76218.0
San Ramon,CA,75995.0
Lake Jackson,TX,75860.0
Bethlehem,PA,75815.0
Wyoming,MI,75667.0
Pine Hills,FL,75575.0
Oshkosh,WI,75536.0
Hammond,IN,75522.0
Missouri City,TX,75457.0
Centreville,VA,75452.0
Pasco,WA,75432.0
Wheeling,WV,75392.0
Baldwin Park,CA,75251.0
Rancho Cordova,CA,75087.0
Brick,NJ,75072.0
Caguas,PR,74980.0
Conway,AR,74951.0
Gary,IN,74879.0
Altoona,PA,74829.0
Lodi,CA,74773.0
Arlington Heights,IL,74760.0
Kendall,FL,74631.0
Waldorf,MD,74587.0
Bolingbrook,IL,74545.0
Rochester Hills,MI,74516.0
Winchester,VA,74417.0
Framingham,MA,74416.0
Hilton Head Island,SC,74139.0
Union City,CA,74107.0
Owensboro,KY,74068.0
Jackson,TN,74065.0
Cleveland,TN,73596.0
Wausau,WI,73593.0
Camden,NJ,73562.0
Dale City,VA,73545.0
Anniston,AL,73501.0
Evanston,IL,73473.0
Apple Valley,CA,73453.0
Mansfield,OH,73326.0
Schaumburg,IL,72887.0
Pocatello,ID,72878.0
Woodbury,MN,72828.0
Southfield,MI,72689.0
Maple Grove,MN,72622.0
Pittsburg,CA,72588.0
New Britain,CT,72495.0
Morgantown,WV,72458.0
Mansfield,TX,72419.0
Hammond,LA,72413.0
Dothan,AL,72396.0
Harrisonburg,VA,72386.0
Wenatchee,WA,72350.0
Waukesha,WI,72299.0
Ellicott City,MD,72247.0
Pawtucket,RI,72117.0
Redmond,WA,71929.0
Lauderhill,FL,71868.0
Sumter,SC,71518.0
Redlands,CA,71513.0
Daphne,AL,71484.0
Mount Vernon,WA,71422.0
Weston,FL,71166.0
St. Charles,MO,71028.0
Cherry Hill,NJ,70859.0
Janesville,WI,70755.0
Sherman,TX,70704.0
North Richland Hills,TX,70670.0
Broomfield,CO,70465.0
El Paso de Robles,CA,70248.0
Bristol,TN,70243.0
Wilmington,DE,70166.0
Walnut Creek,CA,70166.0
Lynwood,CA,69887.0
Glen Burnie,MD,69813.0
Lehi,UT,69724.0
Passaic,NJ,69703.0
Guaynabo,PR,69697.0
Casas Adobes,AZ,69615.0
Homestead,FL,69523.0
West Bend,WI,69504.0
Delray Beach,FL,69451.0
Sheboygan,WI,69393.0
Lake Elsinore,CA,69283.0
Daytona Beach,FL,69186.0
Los Lunas,NM,69020.0
Lima,OH,68878.0
Decatur,AL,68867.0
Rocklin,CA,68823.0
Rogers,AR,68669.0
Castle Rock,CO,68484.0
Hanover,PA,68165.0
Bossier City,LA,68159.0
Dubuque,IA,68109.0
Rockville,MD,68079.0
Victoria,TX,68078.0
Saratoga Springs,NY,68028.0
Gaithersburg,MD,67985.0
Union City,NJ,67982.0
Ames,IA,67910.0
West Des Moines,IA,67899.0
South San Francisco,CA,67789.0
Yorba Linda,CA,67644.0
Casper,WY,67598.0
Palatine,IL,67482.0
Corvallis,OR,67467.0
Ankeny,IA,67355.0
Mount Vernon,NY,67345.0
Rowlett,TX,67339.0
Lakeville,MN,67317.0
Alpharetta,GA,67213.0
Poinciana,FL,67169.0
Longview,WA,67081.0
DeKalb,IL,66959.0
Petaluma,CA,66929.0
Redondo Beach,CA,66749.0
Tamarac,FL,66721.0
Laguna Niguel,CA,66385.0
Eagan,MN,66372.0
Kenner,LA,66340.0
Bay City,MI,66107.0
Old Bridge,NJ,65935.0
North Little Rock,AR,65903.0
Sammamish,WA,65892.0
Shawnee,KS,65807.0
Jupiter,FL,65791.0
Doral,FL,65741.0
Carbondale,IL,65671.0
Blaine,MN,65607.0
Weirton,WV,65578.0
Tulare,CA,65496.0
Middletown,NJ,65475.0
Franklin Township,NJ,65452.0
Wellington,FL,65398.0
Pflugerville,TX,65380.0
Palo Alto,CA,65364.0
Schenectady,NY,65273.0
Great Falls,MT,65131.0
Michigan City,IN,65058.0
Bayonne,NJ,64897.0
Eden Prairie,MN,64893.0
Port Orange,FL,64842.0
Dublin,CA,64826.0
Carmichael,CA,64785.0
Grand Forks,ND,64748.0
Noblesville,IN,64668.0
San Clemente,CA,64558.0
Brentwood,CA,64474.0
East Orange,NJ,64367.0
Florence-Graham,CA,64162.0
Eastvale,CA,64157.0
Chapel Hill,NC,64051.0
Rocky Mount,NC,64018.0
Haverhill,MA,64014.0
Beloit,WI,63762.0
Gloucester,NJ,63700.0
